Time,Acromion Acceleration X,Acromion Acceleration Y,Acromion Acceleration Z,Acromion Angular Velocity,Epicondyle Acceleration X,Epicondyle Acceleration Y,Epicondyle Acceleration Z,Epicondyle Angular Velocity,
0.00.00,0.123,0.219,3.291,0.23739,2.6937,8.8649667,2.104454445,1.090390904,1.1193
0.00.01,0.125,0.218,3.12645,0.24125,2.725,8.51957625,2.05534777,1.064947031,1.1375
0.00.02,0.127,0.217,2.9701275,0.24511,2.7559,8.185374377,2.006317114,1.039542546,1.1557
0.00.03,0.129,0.216,2.821621125,0.24897,2.7864,7.862165103,1.957443246,1.014219298,1.1739
0.00.04,0.131,0.215,2.680540069,0.25283,2.8165,7.549741104,1.908801043,0.989016085,1.1921
0.00.05,0.133,0.214,2.546513065,0.25669,2.8462,7.247885486,1.860459726,0.96396877,1.2103
0.00.06,0.135,0.213,2.419187412,0.26055,2.8755,6.956373403,1.81248309,0.939110409,1.2285
0.00.07,0.137,0.212,2.298228041,0.26441,2.9044,6.674973524,1.764929749,0.914471373,1.2467
0.00.08,0.139,0.211,2.183316639,0.26827,2.9329,6.403449372,1.717853363,0.890079463,1.2649
0.00.09,0.141,0.21,2.074150807,0.27213,2.961,6.141560541,1.67130287,0.865960036,1.2831
